timestamp,day_of_week,hour,minute,restaurant,delivery_fee
2026-03-30 08:00:00,Monday,8,0,Galaxy Grill,4.99
2026-03-30 08:15:00,Monday,8,15,Orbit Eats,5.49
2026-03-30 12:00:00,Monday,12,0,Nebula Noodles,6.99
2026-03-30 12:30:00,Monday,12,30,Galaxy Grill,6.49
2026-03-30 18:00:00,Monday,18,0,Comet Cafe,7.99
2026-03-30 20:15:00,Monday,20,15,Orbit Eats,8.49
2026-03-31 08:05:00,Tuesday,8,5,Galaxy Grill,4.79
2026-03-31 11:45:00,Tuesday,11,45,Nebula Noodles,6.59
2026-03-31 13:00:00,Tuesday,13,0,Comet Cafe,7.19
2026-03-31 19:30:00,Tuesday,19,30,Orbit Eats,8.79
2026-04-01 09:00:00,Wednesday,9,0,Galaxy Grill,5.09
2026-04-01 12:10:00,Wednesday,12,10,Nebula Noodles,6.89
2026-04-01 14:20:00,Wednesday,14,20,Orbit Eats,6.99
2026-04-01 18:40:00,Wednesday,18,40,Comet Cafe,8.19
2026-04-02 07:50:00,Thursday,7,50,Galaxy Grill,4.69
2026-04-02 12:25:00,Thursday,12,25,Nebula Noodles,6.79
2026-04-02 17:55:00,Thursday,17,55,Comet Cafe,7.89
2026-04-02 21:10:00,Thursday,21,10,Orbit Eats,8.99
2026-04-03 08:30:00,Friday,8,30,Galaxy Grill,5.29
2026-04-03 12:50:00,Friday,12,50,Nebula Noodles,7.09
2026-04-03 18:15:00,Friday,18,15,Comet Cafe,8.49
2026-04-03 20:45:00,Friday,20,45,Orbit Eats,9.29
2026-04-04 10:00:00,Saturday,10,0,Galaxy Grill,5.89
2026-04-04 13:35:00,Saturday,13,35,Nebula Noodles,7.39
2026-04-04 19:05:00,Saturday,19,5,Comet Cafe,8.89
2026-04-04 21:25:00,Saturday,21,25,Orbit Eats,9.49
2026-04-05 09:20:00,Sunday,9,20,Galaxy Grill,5.69
2026-04-05 12:40:00,Sunday,12,40,Nebula Noodles,7.19
2026-04-05 18:30:00,Sunday,18,30,Comet Cafe,8.59
2026-04-05 20:55:00,Sunday,20,55,Orbit Eats,9.09
